                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                 2.0015,                 1.5253,                 1.4302,                0.61107,                0.74366,                 0.7429,                0.30669,                 2.0609,                 1.2746,                 1.6212,             0.00050944,             0.00050944,             0.00050944
                     68,                 1.9342,                  1.373,                  1.398,                0.62652,                 0.7241,                0.73128,                0.29286,                 2.1066,                 1.2665,                 1.6573,             0.00049529,             0.00049529,             0.00049529
                     69,                 2.0304,                 1.4451,                 1.4086,                0.62652,                 0.7241,                0.73128,                0.29286,                 2.1066,                 1.2665,                 1.6573,             0.00048114,             0.00048114,             0.00048114
                     70,                 1.9829,                 1.4035,                 1.4576,                0.62652,                 0.7241,                0.73128,                0.29286,                 2.1066,                 1.2665,                 1.6573,               0.000467,               0.000467,               0.000467
                     71,                 1.9927,                 1.3958,                 1.5156,                0.69342,                 0.7229,                0.75131,                0.31541,                 2.0518,                  1.213,                 1.6306,             0.00045285,             0.00045285,             0.00045285
                     72,                 1.9151,                 1.3603,                 1.4301,                0.69342,                 0.7229,                0.75131,                0.31541,                 2.0518,                  1.213,                 1.6306,              0.0004387,              0.0004387,              0.0004387
                     73,                 1.9544,                 1.3111,                  1.426,                0.69342,                 0.7229,                0.75131,                0.31541,                 2.0518,                  1.213,                 1.6306,             0.00042456,             0.00042456,             0.00042456
                     74,                 1.9795,                 1.3815,                  1.445,                0.65939,                0.81811,                0.79789,                0.36726,                 1.9231,                 1.1637,                 1.5545,             0.00041041,             0.00041041,             0.00041041
                     75,                   1.92,                 1.4237,                 1.4688,                0.65939,                0.81811,                0.79789,                0.36726,                 1.9231,                 1.1637,                 1.5545,             0.00039626,             0.00039626,             0.00039626
                     76,                 1.9479,                 1.3289,                 1.3878,                0.65939,                0.81811,                0.79789,                0.36726,                 1.9231,                 1.1637,                 1.5545,             0.00038211,             0.00038211,             0.00038211
                     77,                 1.9363,                 1.3686,                 1.4542,                 0.6649,                0.85489,                0.80583,                0.37544,                 1.8955,                 1.1928,                 1.5354,             0.00036797,             0.00036797,             0.00036797
                     78,                 1.9232,                 1.3485,                 1.4245,                 0.6649,                0.85489,                0.80583,                0.37544,                 1.8955,                 1.1928,                 1.5354,             0.00035382,             0.00035382,             0.00035382
                     79,                 1.9103,                 1.3142,                 1.3801,                 0.6649,                0.85489,                0.80583,                0.37544,                 1.8955,                 1.1928,                 1.5354,             0.00033967,             0.00033967,             0.00033967
                     80,                 1.9455,                  1.309,                 1.3916,                0.67132,                0.79219,                0.78954,                0.35309,                 1.9276,                 1.2306,                 1.5478,             0.00032553,             0.00032553,             0.00032553
                     81,                 1.9439,                 1.3625,                 1.4447,                0.67132,                0.79219,                0.78954,                0.35309,                 1.9276,                 1.2306,                 1.5478,             0.00031138,             0.00031138,             0.00031138
                     82,                  1.948,                 1.2976,                 1.3817,                0.67132,                0.79219,                0.78954,                0.35309,                 1.9276,                 1.2306,                 1.5478,             0.00029723,             0.00029723,             0.00029723
                     83,                 1.9094,                 1.2624,                 1.3895,                0.68716,                0.74419,                0.76975,                0.33636,                 1.9379,                 1.2666,                 1.5541,             0.00028308,             0.00028308,             0.00028308
                     84,                 1.9526,                 1.3859,                 1.4926,                0.68716,                0.74419,                0.76975,                0.33636,                 1.9379,                 1.2666,                 1.5541,             0.00026894,             0.00026894,             0.00026894
                     85,                 1.9138,                 1.2314,                 1.3145,                0.68716,                0.74419,                0.76975,                0.33636,                 1.9379,                 1.2666,                 1.5541,             0.00025479,             0.00025479,             0.00025479
                     86,                 1.9301,                 1.2968,                 1.3721,                0.64409,                0.72491,                0.74963,                0.34102,                 1.9048,                 1.2483,                 1.5312,             0.00024064,             0.00024064,             0.00024064
                     87,                 1.9251,                 1.3607,                  1.372,                0.64409,                0.72491,                0.74963,                0.34102,                 1.9048,                 1.2483,                 1.5312,              0.0002265,              0.0002265,              0.0002265
                     88,                 1.9303,                 1.3403,                  1.501,                0.64409,                0.72491,                0.74963,                0.34102,                 1.9048,                 1.2483,                 1.5312,             0.00021235,             0.00021235,             0.00021235
                     89,                 1.8891,                 1.2886,                 1.3131,                 0.6397,                 0.6823,                0.71164,                0.32812,                 1.8953,                 1.2697,                 1.5217,              0.0001982,              0.0001982,              0.0001982
                     90,                 1.8943,                 1.2442,                 1.3317,                 0.6397,                 0.6823,                0.71164,                0.32812,                 1.8953,                 1.2697,                 1.5217,             0.00018406,             0.00018406,             0.00018406
                     91,                 1.9124,                 1.4363,                 1.4722,                 0.6397,                 0.6823,                0.71164,                0.32812,                 1.8953,                 1.2697,                 1.5217,             0.00016991,             0.00016991,             0.00016991
                     92,                  1.892,                 1.4492,                 1.4842,                0.63724,                0.68569,                0.70608,                0.32572,                 1.8914,                 1.2623,                 1.5195,             0.00015576,             0.00015576,             0.00015576
                     93,                 1.9559,                 1.4455,                 1.5322,                0.63724,                0.68569,                0.70608,                0.32572,                 1.8914,                 1.2623,                 1.5195,             0.00014161,             0.00014161,             0.00014161
                     94,                 1.9266,                  1.378,                 1.4821,                0.63724,                0.68569,                0.70608,                0.32572,                 1.8914,                 1.2623,                 1.5195,             0.00012747,             0.00012747,             0.00012747
                     95,                  1.974,                 1.4097,                 1.3851,                0.63483,                 0.6861,                0.70564,                0.32513,                  1.892,                 1.2866,                 1.5195,             0.00011332,             0.00011332,             0.00011332
                     96,                 1.9266,                 1.4158,                 1.5493,                0.63483,                 0.6861,                0.70564,                0.32513,                  1.892,                 1.2866,                 1.5195,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     97,                 1.9185,                 1.4216,                 1.4757,                0.63483,                 0.6861,                0.70564,                0.32513,                  1.892,                 1.2866,                 1.5195,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     98,                   1.88,                 1.3797,                 1.4544,                0.61847,                0.68807,                0.70499,                0.32795,                 1.8927,                 1.2978,                 1.5194,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     99,                 1.8451,                 1.3724,                 1.4381,                0.61847,                0.68807,                0.70499,                0.32795,                 1.8927,                 1.2978,                 1.5194,             5.6731e-05,             5.6731e-05,             5.6731e-05
                    100,                 1.8867,                 1.3918,                 1.4699,                0.61847,                0.68807,                0.70499,                0.32795,                 1.8927,                 1.2978,                 1.5194,             4.2584e-05,             4.2584e-05,             4.2584e-05
